parameter,zipf_K,exponential_K,logistic_K
0.0,-4.34888893698921e-19,-4.34888893698921e-19,-4.34888893698921e-19
0.01,2.656522673239495e-07,0.002510063421521266,0.0005685589699146989
0.02,1.0810813555908348e-06,0.0072569895808410195,0.0013203236924784006
0.03,2.4752617412682188e-06,0.012255753033580704,0.0017631199975701325
0.04,4.478943678029569e-06,0.017267543673902243,0.002012915473865881
0.05,7.124768736141158e-06,0.02227890179028966,0.0021666646632350086
0.06,1.0447392774480256e-05,0.027289028342510232,0.002269700191919865
0.07,1.4483616777932537e-05,0.03229765325929534,0.0023433730126148624
0.08,1.927252601133375e-05,0.03730452621734773,0.0023986386236780014
0.09,2.4855637959400413e-05,0.04230939791113191,0.0024416246033941405
0.1,3.127705954013339e-05,0.04731201945636993,0.0024760136274983814
0.11,3.8583654096784365e-05,0.05231214241812668,0.0025041501378780745
0.12,4.682521869045759e-05,0.05730951885930826,0.0025275972353326582
0.13,5.605467223157669e-05,0.062303901389608646,0.0025474370878597907
0.14,6.63282550035643e-05,0.06729504321424637,0.002564442675868312
0.15,7.770574014581729e-05,0.07228269818245033,0.0025791808521621285
0.16,9.025065767526785e-05,0.07726662083567493,0.002592076756422282
0.17,0.00010403053163598761,0.08224656645552289,0.002603455495475832
0.18,0.00011911713097427475,0.08722229111135829,0.0026135699301901736
0.19,0.0001355867347418807,0.0921935517075885,0.0026226196875661764
0.2,0.000153520412232253,0.09716010603059637,0.00263076446920458
0.21,0.00017300431865328167,0.10212171279530416,0.0026381335573536125
0.22,0.00019413000693465702,0.10707813169135,0.002644832728398188
0.23,0.0002169947562580437,0.11202912342885804,0.002650949362830191
0.24,0.0002417019178832301,0.11697444978378525,0.002656556277726194
0.25,0.00026836127882274994,0.12191387364282628,0.0026617146394305176
0.26,0.00029708944389046367,0.12684715904785798,0.002666476204080661
0.27,0.00032801023661564846,0.1317740712399084,0.002670885060238201
0.28,0.00036125511947259756,0.13669437670263204,0.0026749789980987752
0.29,0.0003969636338258818,0.1416078432052742,0.0026787905954172397
0.3,0.0004352838599324735,0.14651423984510994,0.0026823480862478077
0.31,0.0004763728972733342,0.15141333708934085,0.0026856760615409188
0.32,0.000520397365407877,0.15630490681643355,0.0026887960383782106
0.33,0.0005675339254543474,0.16118872235688617,0.002691726925710213
0.34,0.0006179698221968457,0.16606455853340754,0.0026944854079050365
0.35000000000000003,0.0006719034467047512,0.17093219170049487,0.0026970862625458735
0.36,0.0007295449192220254,0.17579139978339514,0.0026995426252622162
0.37,0.0007911166919416523,0.18064196231643906,0.0027018662116155144
0.38,0.0008568541711238113,0.18548366048073184,0.0027040675039502193
0.39,0.0009270063578447242,0.19031627714119015,0.0027061559094985277
0.4,0.0010018365064760754,0.1951395968829122,0.002708139894769423
0.41000000000000003,0.0010816227997923905,0.19995340604686976,0.0027100271002710023
0.42,0.001166659039385312,0.2047574927649107,0.002711824438843937
0.43,0.0012572553498297443,0.2095516469940602,0.0027135381802739444
0.44,0.0013537388947971688,0.21433566055011247,0.0027151740243662246
0.45,0.0014564546030468458,0.21910932714050088,0.0027167371642766243
0.46,0.0015657659019463752,0.22387244239643878,0.002718232341582226
0.47000000000000003,0.0016820554558803578,0.22862480390432077,0.0027196638943216313
0.48,0.001805725906600713,0.23336621123637677,0.0027210357990302275
0.49,0.0019372006122558773,0.23809646598057077,0.002722351707628269
0.5,0.0020769243815107006,0.24281537176973614,0.00272361497988239
0.51,0.0022253641988361,0.24752273430994176,0.002724828712048112
0.52,0.0023830099367100695,0.2522183614080804,0.002725995762207461
0.53,0.0025503750501321993,0.25690206299867496,0.002727118772738157
0.54,0.002727997248515539,0.26157365116989745,0.0027282001902862326
0.55,0.0029164391396859406,0.26623294018879246,0.002729242283559834
0.56,0.0031162888403939945,0.270879746525704,0.002730247159216523
0.5700000000000001,0.003328160547432088,0.27551388887790035,0.0027312167760782397
0.58,0.0035526950631541735,0.2801351881923908,0.0027321529578757625
0.59,0.003790560268922736,0.2847434676879367,0.002733057404697101
0.6,0.00404245153976182,0.2893385528762472,0.0027339317032910693
0.61,0.004309092093281906,0.29392027158236256,0.002734777336357375
0.62,0.004591233265767539,0.29848845396422147,0.002735595690937685
0.63,0.0048896547081875835,0.3030429325314095,0.0027363880660075304
0.64,0.005205164494806538,0.30758354216309136,0.0027371556793564763
0.65,0.0055385991370490145,0.3121101201251229,0.0027378996738331965
0.66,0.005890823495303971,0.3166225060863441,0.0027386211230228134
0.67,0.006262730581455889,0.32112054213405505,0.002739321036415827
0.68,0.006655241245101633,0.3256040727886738,0.0027400003641209554
0.6900000000000001,0.007069303736658987,0.33007294501757806,0.0027406600011681704
0.7000000000000001,0.007505893140899669,0.3345270082481326,0.0027413007914428938
0.71,0.007966010674849299,0.3389661143799035,0.0027419235312877333
0.72,0.008450682844492156,0.3433901177960655,0.0027425289728040866
0.73,0.008960960455300584,0.3477988753739993,0.0027431178268823566
0.74,0.009497917472279105,0.35219224649508785,0.0027436907659865012
0.75,0.010062649725970417,0.35657009305371296,0.002744248426715814
0.76,0.010656273461713058,0.3609322794654551,0.0027447914121644557
0.77,0.011279923730365876,0.365278672674505,0.002745320294097136
0.78,0.011934752619717829,0.36960914216028645,0.002745835614957444
0.79,0.0126219273268776,0.3739235599433011,0.0027463378897236474
0.8,0.01334262807307893,0.3782218005901976,0.002746827607625308
0.81,0.014098045863536055,0.382503741218071,0.002747305233732758
0.8200000000000001,0.014889380096228935,0.3867692614979999,0.002747771210430276
0.8300000000000001,0.015717836024780014,0.39101824365782883,0.00274822595878277
0.84,0.016584622081889,0.39525057248420054,0.002748669879804865
0.85,0.01749094707110867,0.39946613532384534,0.002749103355640395
0.86,0.018438017236055745,0.40366482208414123,0.0027495267506596377
0.87,0.019427033217444753,0.40784652523294024,0.002749940412480878
0.88,0.020459186909590532,0.4120111397976844,0.002750344672922332
0.89,0.02153565822923338,0.416158563363806,0.0027507398488899114
0.9,0.022657611810682956,0.42028869607243136,0.002751126243205819
0.91,0.02382619364233588,0.4244014406173894,0.002751504145382527
0.92,0.02504252766058512,0.42849670224153913,0.0027518738323462823
0.93,0.02630771231798847,0.43257438873242404,0.0027522355691139734
0.9400000000000001,0.02762281714328824,0.43663441041726014,0.0027525896094267826
0.9500000000000001,0.028988879311460845,0.44067668015727446,0.00275293619634386
0.96,0.03040690024241145,0.44470111334139467,0.0027532755627988938
0.97,0.03187784224720916,0.44870762787931107,0.0027536079321222825
0.98,0.03340262524087073,0.45269614419390874,0.00275393351853135
0.99,0.03498212354064531,0.4566665852130939,0.0027542525275908746
1.0,0.03661716276852115,0.46061887636101256,0.002754565156646
1.01,0.0383085168762719,0.46455294554868365,0.0027548715952294585
1.02,0.04005690531078192,0.46846872316404875,0.0027551720254448504
1.03,0.04186299033664635,0.4723661420614558,0.0027554666223276207
1.04,0.043727374532133184,0.47624513755058295,0.0027557555541852293
1.05,0.04565059847353503,0.48010564738482153,0.0027560389829179004
1.06,0.047633138621735946,0.4839476117491191,0.0027563170643212435
1.07,0.04967540542348536,0.48777097324730556,0.0027565899483719155
1.08,0.05177774163842562,0.49157567688890447,0.002756857779497435
1.09,0.05394042090137163,0.4953616700754492,0.0027571206968311566
1.1,0.056163646527715105,0.4991289025863082,0.002757378834453372
1.11,0.05844755056813383,0.5028773265640406,0.002757632321619375
1.12,0.060792193117051294,0.5066068964992831,0.0027578812829753413
1.1300000000000001,0.06319756187753185,0.5103175692151919,0.002758125838762742
1.1400000000000001,0.06566357198353119,0.5140093038514416,0.002758366105012043
1.1500000000000001,0.0681900660786691,0.5176820618477994,0.0027586021937262705
1.16,0.07077681464897193,0.5213358069272855,0.0027588342130551373
1.17,0.07342351660536357,0.5249705050789301,0.002759062267460223
1.18,0.07612980011007917,0.528586124540141,0.002759286457871774
1.19,0.07889522363965687,0.5321826357786932,0.0027595068818376018
1.2,0.08171927727573834,0.5357600114743529,0.002759723633664557
1.21,0.08460138421359316,0.5393182265001487,0.00275993680455298
1.22,0.08754090247708608,0.5428572579032988,0.0027601464827245567
1.23,0.09053712682773729,0.5463770848858127,0.0027603527535439354
